param,cat
Radiation parameters,
taulnir,a
taulvis,a
tausnir,a
tausvis,a
rholnir,a
rholvis,a
rhosnir,a
rhosvis,a
xl,a
"Sensible, latent heat and momentum fluxes",
displar,b
dleaf,b
z0mr,b
csoilc,b
cv,b
a_coef,b
a_exp,b
zlnd,b
zsno,b
d_max,b
frac_sat_soil_dsl_init,b
lai_dl,b
z_dl,b
zetamaxstable,b
wind_min,b
Soil and snow thermal ,
tkd_sand,c
tkd_clay,c
tkd_om,c
tkm_om,c
pd,c
csol_om,c
csol_sand,c
csol_clay,c
Hydrology,
bsw_sf,d
hksat_sf,d
sucsat_sf,d
watsat_sf,d
om_frac_sf,d
sand_pf,d
clay_pf,d
zbedrock_sf,d
baseflow_scalar,d
maximum_leaf_wetted_fraction,d
interception_fraction,d
aq_sp_yield_min,d
fff,d
liq_canopy_storage_scalar,d
snow_canopy_storage_scalar,d
perched_baseflow_scalar,d
e_ice,d
n_baseflow,d
slopebeta,d
slopemax,d
pc,d
mu,d
Snow Processes,
n_melt_coef,e
accum_factor,e
eta0_anderson,e
eta0_vionnet,e
drift_gs,e
ssi,e
wimp,e
upplim_destruct_metamorph,e
wind_snowcompact_fact,e
rho_max,e
tau_ref,e
snowcan_unload_wind_fact,e
snowcan_unload_temp_fact,e
xdrdt,e
snw_rds_refrz,e
scvng_fct_mlt_sf,e
ceta,e
C2_liq_Brun89,e
Stomatal resistance and photosynthesis,
medlynslope,f
medlynintercept,f
fnps,f
theta_psii,f
theta_ip,f
theta_cj,f
kc25_coef,f
ko25_coef,f
cp25_yr2000,f
fnr,f
act25,f
tpu25ratio,f
kp25ratio,f
lmrse,f
flnr,f
fnitr,f
Photosynthetic capacity (LUNA),
slatop,g
dsladlai,g
jmaxb0,g
jmaxb1,g
wc2wjb0,g
enzyme_turnover_daily,g
relhExp,g
minrelh,g
luna_theta_cj,g
Plant hydraulics,
kmax,h
krmax,h
psi50,h
ck,h
rootprof_beta,h
Biomass Heat Storage,
dbh,i
fbw,i
nstem,i
rstem,i
wood_density,i
Plant respiration,
grperc,j
grpnow,j
br_mr,j
lmr_intercept_atkin,j
br_root,j
leaf_mr_vcm,j
Fixation and Uptake of Nitrogen (FUN),
FUN_fracfixers,k
a_fix,k
b_fix,k
c_fix,k
s_fix,k
fun_cn_flex_a,k
fun_cn_flex_b,k
fun_cn_flex_c,k
kc_nonmyc,k
kn_nonmyc,k
akc_active,k
akn_active,k
ekc_active,k
ekn_active,k
Carbon and nitrogen allocation,
froot_leaf,l
stem_leaf,l
croot_stem,l
flivewd,l
frootcn,l
frootcn_max,l
frootcn_min,l
leafcn,l
leafcn_max,l
leafcn_min,l
Vegetation phenology and turnover,
leaf_long,m
lf_fcel,m
lf_flab,m
lf_flig,m
fr_fcel,m
fr_flab,m
fr_flig,m
lwtop_ann,m
ndays_off,m
ndays_on,m
crit_onset_gdd_sf,m
crit_dayl,m
crit_offset_fdd,m
crit_offset_swi,m
crit_onset_fdd,m
crit_onset_swi,m
soilpsi_off,m
soilpsi_on,m
fstor2tran,m
Decomposition,
tau_cwd,n
tau_l1,n
tau_l2_l3,n
tau_s1,n
tau_s2,n
tau_s3,n
q10_mr,n
q10_hr,n
froz_q10,n
minpsi_hr,n
maxpsi_hr,n
rf_cwdl2_bgc,n
rf_cwdl3_bgc,n
rf_l1s1_bgc,n
rf_l2s1_bgc,n
rf_l3s2_bgc,n
rf_s2s1_bgc,n
rf_s2s3_bgc,n
rf_s3s1_bgc,n
cn_s1_bgc,n
cn_s2_bgc,n
cn_s3_bgc,n
decomp_depth_efolding,n
max_altdepth_cryoturbation,n
max_altmultiplier_cryoturb,n
cryoturb_diffusion_k,n
cwd_fcel,n
cwd_flig,n
som_diffus,n
External Nitrogen cycle,
k_nitr_max_perday,o
denitrif_respiration_coefficient,o
denitrif_respiration_exponent,o
denitrif_nitrateconc_coefficient,o
denitrif_nitrateconc_exponent,o
freelivfix_slope_wet,o
freelivfix_intercept,o
bdnr,o
Plant mortality,
r_mort,p
Fire,
cli_scale,q
lfuel,q
ufuel,q
rh_low,q
rh_hgh,q
pot_hmn_ign_counts_alpha,q
occur_hi_gdp_tree,q
cmb_cmplt_fact_litter,q
cmb_cmplt_fact_cwd,q
cropfire_a1,q
boreal_peatfire_c,q
non_boreal_peatfire_c,q
fsr_pft,q
fd_pft,q
prh30,q
ignition_efficiency,q
cc_dstem,q
cc_leaf,q
cc_lstem,q
cc_other,q
fm_droot,q
fm_dstem,q
fm_leaf,q
fm_lroot,q
fm_lstem,q
fm_other,q
fm_root,q
Acclimation parameters,
vcmaxha,r
jmaxha,r
tpuha,r
lmrha,r
kcha,r
koha,r
cpha,r
vcmaxhd,r
jmaxhd,r
tpuhd,r
lmrhd,r
vcmaxse_sf,r
jmaxse_sf,r
tpuse_sf,r
jmax25top_sf,r
,r
Processes and related parameters not included in list,
"crops, irrigation",s
"land cover change, e.g., wood harvest",s
methane,s
BVOCs,s
rivers,s
lake,s
urban,s
,
Extra information about parameters for pedotransfer functions,
om_b,t
,
,
om_watsat,t
,
,
om_sucsat,t
,
,
om_hksat,t
,
,
,
Sources of structural uncertainty in photosynthesis equations,
jmaxse,u
vcmaxse,u
jmax25top,u
,
,
,
fresh_snw_rds_max,v
