param,units,pft,clm51_default,surv_min,surv_max,constrained?,orig_min,orig_max
C2_liq_Brun89,m3/s,all,4.22e-13,3.376e-13,5.064e-13,0,3.376e-13,5.064e-13
FUN_fracfixers,fraction,NEMT,0.25,0.0,1.0,0,0.0,1.0
FUN_fracfixers,fraction,NEBT,0.25,0.0,1.0,0,0.0,1.0
FUN_fracfixers,fraction,NDBT,0.25,0.0,1.0,0,0.0,1.0
FUN_fracfixers,fraction,BETT,0.25,0.0,1.0,0,0.0,1.0
FUN_fracfixers,fraction,BEMT,0.25,0.0,1.0,0,0.0,1.0
FUN_fracfixers,fraction,BDTT,0.25,0.0,1.0,0,0.0,1.0
FUN_fracfixers,fraction,BDMT,0.25,0.0,1.0,0,0.0,1.0
FUN_fracfixers,fraction,BDBT,0.25,0.0,1.0,0,0.0,1.0
FUN_fracfixers,fraction,BES,0.25,0.0,1.0,0,0.0,1.0
FUN_fracfixers,fraction,BDMS,0.25,0.0,1.0,0,0.0,1.0
FUN_fracfixers,fraction,BDBS,0.25,0.0,1.0,0,0.0,1.0
FUN_fracfixers,fraction,C3AG,0.25,0.0,1.0,0,0.0,1.0
FUN_fracfixers,fraction,C3G,0.25,0.0,1.0,0,0.0,1.0
FUN_fracfixers,fraction,C4G,0.25,0.0,1.0,0,0.0,1.0
FUN_fracfixers,fraction,C3C,0.0,0.0,1.0,0,0.0,1.0
FUN_fracfixers,fraction,C3I,0.0,0.0,1.0,0,0.0,1.0
a_coef,unitless,all,0.13,0.1,0.13,0,0.1,0.13
a_exp,unitless,all,0.45,0.45,0.5,0,0.45,0.5
a_fix,unitless,NEMT,-3.62,-4.14,-3.1,0,-4.14,-3.1
a_fix,unitless,NEBT,-3.62,-4.14,-3.1,0,-4.14,-3.1
a_fix,unitless,NDBT,-3.62,-4.14,-3.1,0,-4.14,-3.1
a_fix,unitless,BETT,-3.62,-4.14,-3.1,0,-4.14,-3.1
a_fix,unitless,BEMT,-3.62,-4.14,-3.1,0,-4.14,-3.1
a_fix,unitless,BDTT,-3.62,-4.14,-3.1,0,-4.14,-3.1
a_fix,unitless,BDMT,-3.62,-4.14,-3.1,0,-4.14,-3.1
a_fix,unitless,BDBT,-3.62,-4.14,-3.1,0,-4.14,-3.1
a_fix,unitless,BES,-3.62,-4.14,-3.1,0,-4.14,-3.1
a_fix,unitless,BDMS,-3.62,-4.14,-3.1,0,-4.14,-3.1
a_fix,unitless,BDBS,-3.62,-4.14,-3.1,0,-4.14,-3.1
a_fix,unitless,C3AG,-3.62,-4.14,-3.1,0,-4.14,-3.1
a_fix,unitless,C3G,-3.62,-4.14,-3.1,0,-4.14,-3.1
a_fix,unitless,C4G,-3.62,-4.14,-3.1,0,-4.14,-3.1
a_fix,unitless,C3C,-3.62,-4.14,-3.1,0,-4.14,-3.1
a_fix,unitless,C3I,-3.62,-4.14,-3.1,0,-4.14,-3.1
